campaign_id,campaign_name,channel,campaign_type,start_date,end_date,budget,target_country,status
38,Influencer Acquisition Q4 2023,influencer,retention,2023-11-12,2023-12-17,79788.84,USA,completed
39,Influencer Reactivation Q2 2022,influencer,acquisition,2022-04-28,2022-06-23,30181.32,Switzerland,completed
40,Influencer Brand Awareness Q3 2023,influencer,acquisition,2023-08-07,2023-10-28,48720.83,UK,completed
41,Influencer Acquisition Q2 2022,influencer,reactivation,2022-06-19,2022-07-20,7710.62,UK,completed
42,Influencer Brand Awareness Q3 2022,influencer,retention,2022-08-24,2022-11-17,67837.54,Germany,completed
43,Influencer Retention Q1 2024,influencer,retention,2024-03-04,2024-05-10,13787.55,Germany,completed
44,Influencer Acquisition Q4 2022,influencer,retention,2022-10-10,2022-12-09,63169.18,Germany,completed
45,Influencer Acquisition Q4 2022,influencer,acquisition,2022-12-29,2023-03-21,59356.09,Switzerland,completed
46,Influencer Acquisition Q2 2022,influencer,acquisition,2022-06-03,2022-08-25,61938.77,Austria,completed
47,Tiktok Ads Retention Q4 2022,tiktok_ads,brand_awareness,2022-12-29,2023-02-10,62988.11,Netherlands,completed
48,Tiktok Ads Retention Q2 2024,tiktok_ads,brand_awareness,2024-04-08,2024-06-16,18468.15,Germany,completed
49,Tiktok Ads Acquisition Q2 2023,tiktok_ads,retention,2023-05-24,2023-08-12,33262.77,Austria,completed
50,Tiktok Ads Reactivation Q2 2022,tiktok_ads,acquisition,2022-04-10,2022-05-24,70732.71,Germany,completed
51,Tiktok Ads Reactivation Q2 2024,tiktok_ads,brand_awareness,2024-06-30,2024-08-04,23975.16,USA,completed
52,Tiktok Ads Acquisition Q3 2023,tiktok_ads,brand_awareness,2023-08-22,2023-10-25,76144.24,Germany,completed
53,Tiktok Ads Brand Awareness Q1 2022,tiktok_ads,brand_awareness,2022-01-12,2022-03-03,14270.37,UK,completed
