spend_id,campaign_id,spend_date,daily_spend,impressions,clicks,conversions,cpc,ctr
76,2,2022-10-20,230.48,5361,291,13,0.79,0.0544
77,2,2022-10-21,277.46,4873,253,28,1.1,0.052
78,2,2022-10-22,403.37,3473,129,8,3.13,0.0373
79,2,2022-10-23,228.04,6142,184,17,1.24,0.0301
80,2,2022-10-24,251.73,7938,431,23,0.58,0.0543
81,2,2022-10-25,303.28,1938,160,13,1.9,0.0829
82,2,2022-10-26,343.73,4957,369,27,0.93,0.0745
83,2,2022-10-27,408.41,3591,164,22,2.49,0.0459
84,2,2022-10-28,240.52,3381,113,6,2.13,0.0335
85,2,2022-10-29,266.81,536,30,2,8.89,0.0568
86,2,2022-10-30,410.73,1517,122,17,3.37,0.0804
87,2,2022-10-31,348.57,2762,167,7,2.09,0.0608
88,2,2022-11-01,347.53,7392,243,35,1.43,0.033
89,2,2022-11-02,318.32,6789,717,23,0.44,0.1057
90,2,2022-11-03,326.79,2648,90,7,3.63,0.0342
91,2,2022-11-04,239.36,2671,134,15,1.79,0.0503
92,2,2022-11-05,312.67,3331,76,6,4.11,0.0229
93,2,2022-11-06,369.96,1043,72,4,5.14,0.07
94,2,2022-11-07,235.06,810,26,3,9.04,0.0327
95,2,2022-11-08,344.01,3408,259,11,1.33,0.0762
96,2,2022-11-09,229.42,3410,332,31,0.69,0.0976
97,2,2022-11-10,398.98,623,64,7,6.23,0.1028
98,2,2022-11-11,308.87,4194,168,15,1.84,0.0403
99,2,2022-11-12,230.27,5705,523,29,0.44,0.0918
100,2,2022-11-13,256.84,2303,81,8,3.17,0.0356
101,2,2022-11-14,326.2,1528,178,24,1.83,0.117
102,2,2022-11-15,379.92,2863,296,9,1.28,0.1034
103,2,2022-11-16,227.97,7185,167,6,1.37,0.0233
104,2,2022-11-17,400.13,2541,195,25,2.05,0.077
105,3,2023-08-26,1543.64,4581,441,28,3.5,0.0964
106,3,2023-08-27,1990.71,7798,272,38,7.32,0.035
107,3,2023-08-28,1393.15,5218,534,50,2.61,0.1023
108,3,2023-08-29,1710.53,3898,450,27,3.8,0.1156
109,3,2023-08-30,1608.67,4420,460,35,3.5,0.1041
110,3,2023-08-31,1188.61,2632,304,20,3.91,0.1158
111,3,2023-09-01,1443.28,1908,185,6,7.8,0.097
112,3,2023-09-02,1913.97,1916,211,28,9.07,0.1104
113,3,2023-09-03,1493.86,645,23,3,64.95,0.0359
114,3,2023-09-04,2089.26,3136,186,14,11.23,0.0593
115,3,2023-09-05,1745.67,3568,350,10,4.99,0.0983
116,3,2023-09-06,1830.12,4306,205,26,8.93,0.0478
117,3,2023-09-07,1332.21,6492,539,37,2.47,0.0832
118,3,2023-09-08,1869.1,5555,137,10,13.64,0.0248
119,3,2023-09-09,1697.99,1756,174,14,9.76,0.0996
120,3,2023-09-10,1976.11,6999,621,92,3.18,0.0888
121,3,2023-09-11,1905.71,4857,250,36,7.62,0.0516
122,3,2023-09-12,1440.49,1233,52,5,27.7,0.0424
123,3,2023-09-13,1603.69,3667,130,7,12.34,0.0357
124,3,2023-09-14,1926.81,2384,129,6,14.94,0.0541
125,3,2023-09-15,1931.22,1205,100,7,19.31,0.0831
126,3,2023-09-16,2162.48,2644,168,15,12.87,0.0638
127,3,2023-09-17,1796.11,5844,441,46,4.07,0.0756
128,3,2023-09-18,2167.28,5776,366,23,5.92,0.0635
129,3,2023-09-19,1569.88,5603,629,55,2.5,0.1124
130,3,2023-09-20,1640.79,7399,248,21,6.62,0.0336
131,3,2023-09-21,1796.62,2001,130,11,13.82,0.0655
132,3,2023-09-22,1982.08,2957,217,22,9.13,0.0736
133,3,2023-09-23,1876.91,4464,104,14,18.05,0.0233
134,3,2023-09-24,1576.62,2079,66,5,23.89,0.0321
135,3,2023-09-25,1931.24,7780,892,115,2.17,0.1147
136,3,2023-09-26,2115.17,1535,165,7,12.82,0.1078
137,3,2023-09-27,2198.06,4019,462,65,4.76,0.1152
138,3,2023-09-28,1380.83,502,15,1,92.06,0.0313
139,3,2023-09-29,1540.89,2307,224,13,6.88,0.0971
140,3,2023-09-30,1228.2,992,114,13,10.77,0.1158
141,3,2023-10-01,1405.85,2299,261,38,5.39,0.114
142,3,2023-10-02,1673.68,6671,137,11,12.22,0.0206
143,3,2023-10-03,1532.46,7288,413,57,3.71,0.0567
144,3,2023-10-04,1359.05,2894,62,5,21.92,0.0217
145,3,2023-10-05,1405.99,836,85,12,16.54,0.1022
146,3,2023-10-06,1974.57,7666,459,57,4.3,0.06
147,4,2023-04-18,2335.11,7363,418,21,5.59,0.0569
148,4,2023-04-19,2086.3,3238,276,34,7.56,0.0854
149,4,2023-04-20,2157.05,4549,97,3,22.24,0.0215
150,4,2023-04-21,1513.84,1238,65,9,23.29,0.0532
151,4,2023-04-22,2352.22,3979,362,50,6.5,0.0912
152,4,2023-04-23,1940.97,6273,127,9,15.28,0.0204
153,4,2023-04-24,2640.74,3277,286,41,9.23,0.0874
154,4,2023-04-25,1972.29,7823,899,126,2.19,0.1149
155,4,2023-04-26,2536.15,5440,559,61,4.54,0.1028
156,4,2023-04-27,1569.35,4911,136,14,11.54,0.0279
157,4,2023-04-28,1970.59,1168,102,4,19.32,0.0881
158,4,2023-04-29,1546.11,3128,368,48,4.2,0.1177
159,4,2023-04-30,1980.52,1587,119,15,16.64,0.0753
160,4,2023-05-01,1876.35,7398,629,84,2.98,0.0851
161,4,2023-05-02,1704.57,3588,168,19,10.15,0.0469
162,4,2023-05-03,2326.84,7692,700,86,3.32,0.091
163,4,2023-05-04,2728.58,5877,153,5,17.83,0.0262
164,4,2023-05-05,2302.72,4344,149,6,15.45,0.0345
165,4,2023-05-06,1781.02,5237,240,16,7.42,0.0459
166,4,2023-05-07,2523.09,2534,114,16,22.13,0.0453
167,4,2023-05-08,2285.2,1187,119,6,19.2,0.1007
168,4,2023-05-09,1933.94,6118,240,21,8.06,0.0393
169,4,2023-05-10,1772.85,5546,575,77,3.08,0.1038
170,4,2023-05-11,2005.51,4007,406,34,4.94,0.1015
171,4,2023-05-12,1765.29,7576,816,68,2.16,0.1078
172,4,2023-05-13,1755.07,6665,320,11,5.48,0.0481
173,4,2023-05-14,1738.06,3285,384,47,4.53,0.1172
174,4,2023-05-15,1517.72,5035,454,15,3.34,0.0903
175,4,2023-05-16,1496.77,2121,100,13,14.97,0.0472
176,4,2023-05-17,1634.31,1213,44,2,37.14,0.037
177,4,2023-05-18,2644.29,1064,29,3,91.18,0.0279
178,4,2023-05-19,1952.72,7030,755,56,2.59,0.1074
179,4,2023-05-20,1705.72,4146,242,8,7.05,0.0585
180,4,2023-05-21,1574.59,2105,149,10,10.57,0.0713
181,4,2023-05-22,1867.33,1926,171,18,10.92,0.0889
182,4,2023-05-23,1534.48,849,71,7,21.61,0.0838
183,4,2023-05-24,2253.69,5017,258,27,8.74,0.0516
184,5,2024-03-04,1614.87,1406,66,6,24.47,0.047
185,5,2024-03-05,1086.18,1514,35,3,31.03,0.0234
186,5,2024-03-06,1514.5,6668,255,11,5.94,0.0383
187,5,2024-03-07,1708.39,7407,205,28,8.33,0.0277
188,5,2024-03-08,1422.7,1158,113,6,12.59,0.0983
189,5,2024-03-09,1558.51,4888,106,11,14.7,0.0218
190,5,2024-03-10,1806.43,4217,345,41,5.24,0.0819
191,5,2024-03-11,1617.85,4751,304,29,5.32,0.0641
192,5,2024-03-12,1620.72,4306,317,45,5.11,0.0737
193,5,2024-03-13,1718.71,6649,295,26,5.83,0.0445
194,5,2024-03-14,1528.17,7699,258,34,5.92,0.0335
195,5,2024-03-15,1431.63,1903,152,20,9.42,0.0802
196,5,2024-03-16,1231.39,4788,376,45,3.27,0.0786
197,5,2024-03-17,1290.66,634,30,1,43.02,0.0482
198,5,2024-03-18,1152.58,7916,632,24,1.82,0.0798
199,5,2024-03-19,1787.36,4670,442,32,4.04,0.0947
200,5,2024-03-20,1704.95,5662,555,39,3.07,0.0981
201,5,2024-03-21,1162.68,1879,102,11,11.4,0.0543
202,5,2024-03-22,1486.48,2778,132,13,11.26,0.0478
203,5,2024-03-23,1091.23,6493,653,74,1.67,0.1006
204,5,2024-03-24,1714.78,2779,235,20,7.3,0.0848
205,5,2024-03-25,1620.28,1917,79,8,20.51,0.0415
206,5,2024-03-26,1293.46,4774,314,10,4.12,0.0659
207,5,2024-03-27,1510.77,6813,774,93,1.95,0.1137
208,5,2024-03-28,1628.51,2729,207,9,7.87,0.0761
209,5,2024-03-29,1299.76,7430,574,29,2.26,0.0773
210,6,2022-01-08,887.44,1778,182,22,4.88,0.1028
211,6,2022-01-09,1280.24,1357,109,8,11.75,0.0806
212,6,2022-01-10,1334.07,3768,368,49,3.63,0.0977
213,6,2022-01-11,1417.29,524,42,3,33.74,0.0812
214,6,2022-01-12,887.34,5387,306,21,2.9,0.0569
215,6,2022-01-13,1367.81,6049,135,19,10.13,0.0225
216,6,2022-01-14,1208.84,6616,293,18,4.13,0.0444
217,6,2022-01-15,846.51,7031,301,26,2.81,0.0429
218,6,2022-01-16,1401.82,2289,133,14,10.54,0.0583
219,6,2022-01-17,959.73,7990,840,30,1.14,0.1052
220,6,2022-01-18,1120.9,1210,34,1,32.97,0.0284
221,6,2022-01-19,1438.93,5608,194,19,7.42,0.0347
222,6,2022-01-20,1394.4,7132,218,29,6.4,0.0306
223,6,2022-01-21,1168.2,6929,476,27,2.45,0.0688
224,6,2022-01-22,1019.83,1139,30,1,33.99,0.0269
225,6,2022-01-23,1046.3,2131,226,28,4.63,0.1063
226,6,2022-01-24,1327.36,4036,442,45,3.0,0.1097
227,6,2022-01-25,1100.69,4174,140,8,7.86,0.0336
228,6,2022-01-26,1080.79,4447,201,15,5.38,0.0453
229,6,2022-01-27,1158.51,1117,91,3,12.73,0.0821
230,6,2022-01-28,1428.47,6053,444,36,3.22,0.0734
231,6,2022-01-29,880.73,4853,124,6,7.1,0.0257
232,6,2022-01-30,828.39,5335,567,44,1.46,0.1063
233,6,2022-01-31,1086.96,2343,64,6,16.98,0.0276
234,6,2022-02-01,1269.95,1650,140,9,9.07,0.0849
235,6,2022-02-02,859.9,7929,750,54,1.15,0.0947
236,6,2022-02-03,1342.94,6789,524,45,2.56,0.0772
237,6,2022-02-04,1429.11,3881,293,40,4.88,0.0756
238,6,2022-02-05,1039.88,1598,33,2,31.51,0.021
239,6,2022-02-06,1022.2,2708,152,9,6.73,0.0564
240,6,2022-02-07,1365.22,3525,290,22,4.71,0.0824
241,6,2022-02-08,867.04,6568,234,35,3.71,0.0357
242,6,2022-02-09,1449.51,5271,375,34,3.87,0.0713
243,6,2022-02-10,840.75,3100,217,14,3.87,0.0701
244,6,2022-02-11,924.99,7116,667,57,1.39,0.0938
245,6,2022-02-12,840.98,2858,320,24,2.63,0.1121
246,6,2022-02-13,1220.84,6001,281,24,4.34,0.0469
247,6,2022-02-14,1424.07,6482,386,20,3.69,0.0596
248,6,2022-02-15,1315.65,4584,334,18,3.94,0.073
249,6,2022-02-16,892.34,4392,232,20,3.85,0.053
250,6,2022-02-17,1251.42,6333,506,59,2.47,0.08
251,6,2022-02-18,1089.78,1691,43,4,25.34,0.0258
252,6,2022-02-19,1319.91,7175,305,41,4.33,0.0426
253,6,2022-02-20,1058.22,5743,196,11,5.4,0.0343
254,6,2022-02-21,1416.45,7121,283,23,5.01,0.0399
255,6,2022-02-22,1260.91,3043,90,8,14.01,0.0296
256,6,2022-02-23,973.99,6409,647,71,1.51,0.101
257,6,2022-02-24,1370.54,7149,234,7,5.86,0.0328
258,6,2022-02-25,1179.93,1587,100,3,11.8,0.0632
259,6,2022-02-26,1318.07,6910,721,89,1.83,0.1044
260,6,2022-02-27,1319.34,7418,423,24,3.12,0.0571
261,6,2022-02-28,1445.61,3326,258,12,5.6,0.0778
262,6,2022-03-01,1061.63,6745,207,7,5.13,0.0308
263,6,2022-03-02,1435.64,800,42,5,34.18,0.0527
264,6,2022-03-03,853.16,1714,158,9,5.4,0.0926
265,6,2022-03-04,1120.95,1295,94,9,11.93,0.0732
266,6,2022-03-05,1425.74,1365,68,2,20.97,0.0501
267,6,2022-03-06,1490.06,2326,82,3,18.17,0.0355
268,6,2022-03-07,996.48,6127,185,27,5.39,0.0302
269,6,2022-03-08,1397.7,7391,465,25,3.01,0.063
270,6,2022-03-09,1055.76,5326,513,57,2.06,0.0963
271,6,2022-03-10,1514.04,6323,469,29,3.23,0.0742
272,6,2022-03-11,825.5,4473,475,21,1.74,0.1063
273,6,2022-03-12,1056.19,5464,131,17,8.06,0.024
274,6,2022-03-13,1260.93,4166,302,41,4.18,0.0725
275,6,2022-03-14,953.66,7248,423,35,2.25,0.0584
276,6,2022-03-15,1129.37,5448,292,37,3.87,0.0537
277,6,2022-03-16,1052.62,1505,30,3,35.09,0.0201
278,6,2022-03-17,1322.08,2577,279,18,4.74,0.1085
279,7,2023-04-19,876.42,7883,259,9,3.38,0.0329
280,7,2023-04-20,791.32,5181,279,36,2.84,0.0539
281,7,2023-04-21,713.02,6338,399,20,1.79,0.063
282,7,2023-04-22,702.4,878,81,2,8.67,0.0926
283,7,2023-04-23,797.77,4030,260,29,3.07,0.0648
284,7,2023-04-24,1178.22,2332,228,13,5.17,0.0978
285,7,2023-04-25,1170.6,2743,301,17,3.89,0.1098
286,7,2023-04-26,732.86,3257,374,11,1.96,0.1149
287,7,2023-04-27,1177.15,5488,482,17,2.44,0.0878
288,7,2023-04-28,1252.44,3762,143,13,8.76,0.0382
289,7,2023-04-29,889.66,7230,575,78,1.55,0.0795
290,7,2023-04-30,920.9,7763,606,27,1.52,0.0781
291,7,2023-05-01,1158.97,4171,212,17,5.47,0.0508
292,7,2023-05-02,1038.0,3356,231,33,4.49,0.0691
293,7,2023-05-03,1060.57,4760,199,17,5.33,0.042
294,7,2023-05-04,1227.64,1639,93,9,13.2,0.0573
295,7,2023-05-05,942.69,3925,419,60,2.25,0.1068
296,7,2023-05-06,803.93,2911,145,9,5.54,0.0501
297,7,2023-05-07,858.3,1927,93,6,9.23,0.0488
298,7,2023-05-08,948.06,4007,349,18,2.72,0.0873
299,7,2023-05-09,914.07,7396,779,60,1.17,0.1054
300,7,2023-05-10,700.79,4281,339,19,2.07,0.0794
301,7,2023-05-11,1040.91,4544,356,39,2.92,0.0784
302,7,2023-05-12,991.35,782,24,1,41.31,0.0307
303,7,2023-05-13,1097.04,5358,271,30,4.05,0.0507
304,7,2023-05-14,741.99,3218,251,19,2.96,0.0782
305,7,2023-05-15,1010.03,4273,159,21,6.35,0.0372
306,7,2023-05-16,997.3,5884,487,23,2.05,0.0829
307,7,2023-05-17,772.86,4659,193,28,4.0,0.0416
308,7,2023-05-18,699.85,2019,207,25,3.38,0.1027
309,7,2023-05-19,996.32,3275,152,5,6.55,0.0465
310,7,2023-05-20,1206.67,5709,281,39,4.29,0.0494
311,7,2023-05-21,843.0,5622,218,14,3.87,0.0389
312,7,2023-05-22,740.11,4859,139,10,5.32,0.0286
313,7,2023-05-23,1199.63,5555,111,14,10.81,0.0202
314,7,2023-05-24,1235.02,7312,405,21,3.05,0.0555
315,7,2023-05-25,966.79,4317,236,18,4.1,0.0548
316,7,2023-05-26,1229.82,3636,189,19,6.51,0.0521
317,7,2023-05-27,753.88,4076,158,13,4.77,0.0388
318,7,2023-05-28,974.12,1487,116,17,8.4,0.0784
319,7,2023-05-29,1000.3,2913,107,14,9.35,0.0369
320,7,2023-05-30,708.85,1460,31,4,22.87,0.0214
321,7,2023-05-31,905.89,1051,81,2,11.18,0.078
322,7,2023-06-01,757.2,3035,241,26,3.14,0.0796
323,7,2023-06-02,936.57,5682,196,24,4.78,0.0345
324,7,2023-06-03,1147.13,2244,232,25,4.94,0.1036
325,7,2023-06-04,728.55,506,54,1,13.49,0.1077
326,7,2023-06-05,723.26,3730,139,10,5.2,0.0375
327,7,2023-06-06,893.61,2291,204,11,4.38,0.0892
328,7,2023-06-07,755.61,4689,444,59,1.7,0.0948
329,7,2023-06-08,1253.37,2593,236,8,5.31,0.091
330,7,2023-06-09,1270.35,1631,91,9,13.96,0.0558
331,7,2023-06-10,791.19,4160,280,31,2.83,0.0675
332,7,2023-06-11,1157.19,1295,40,3,28.93,0.0312
333,7,2023-06-12,1143.46,6606,182,22,6.28,0.0277
334,7,2023-06-13,889.9,4265,252,37,3.53,0.0592
335,7,2023-06-14,1019.39,3171,72,4,14.16,0.0227
336,7,2023-06-15,1149.72,3685,361,13,3.18,0.0981
337,7,2023-06-16,995.73,7220,543,23,1.83,0.0753
338,7,2023-06-17,1228.64,3074,256,25,4.8,0.0836
339,7,2023-06-18,1133.88,1755,100,6,11.34,0.0575
340,7,2023-06-19,904.99,1078,32,3,28.28,0.0301
341,7,2023-06-20,800.8,2741,314,35,2.55,0.1147
342,7,2023-06-21,1237.75,2790,191,22,6.48,0.0685
343,7,2023-06-22,1099.21,1555,117,9,9.39,0.0759
344,7,2023-06-23,785.78,719,42,4,18.71,0.0594
345,7,2023-06-24,763.13,3585,213,11,3.58,0.0595
346,7,2023-06-25,1087.78,4059,295,27,3.69,0.0727
347,7,2023-06-26,748.7,2496,137,17,5.46,0.055
348,7,2023-06-27,1037.31,2366,223,24,4.65,0.0945
349,7,2023-06-28,1216.66,5454,441,62,2.76,0.081
350,7,2023-06-29,1149.91,3933,86,10,13.37,0.0219
351,7,2023-06-30,1068.61,2206,199,6,5.37,0.0902
352,7,2023-07-01,1217.42,780,55,1,22.13,0.0707
353,7,2023-07-02,952.65,6473,263,20,3.62,0.0406
354,7,2023-07-03,936.52,951,92,10,10.18,0.0973
355,7,2023-07-04,827.78,6320,712,62,1.16,0.1127
356,7,2023-07-05,1169.46,4036,228,18,5.13,0.0565
357,7,2023-07-06,1195.58,6145,215,29,5.56,0.0351
358,7,2023-07-07,1080.61,6980,155,9,6.97,0.0223
359,7,2023-07-08,741.58,6498,699,94,1.06,0.1076
360,8,2022-08-10,2582.44,2476,214,30,12.07,0.0866
361,8,2022-08-11,1879.91,5006,511,68,3.68,0.1021
362,8,2022-08-12,2695.11,2516,236,9,11.42,0.0941
363,8,2022-08-13,2515.44,4849,322,13,7.81,0.0665
364,8,2022-08-14,1654.48,4892,497,71,3.33,0.1017
365,8,2022-08-15,2168.77,3575,145,10,14.96,0.0406
366,8,2022-08-16,1590.89,1213,128,8,12.43,0.1058
367,8,2022-08-17,2477.16,4161,269,15,9.21,0.0647
368,8,2022-08-18,1708.94,7524,338,27,5.06,0.045
369,8,2022-08-19,1648.51,7398,543,24,3.04,0.0735
370,8,2022-08-20,1986.55,5986,478,32,4.16,0.0799
371,8,2022-08-21,2771.91,6709,566,75,4.9,0.0844
372,8,2022-08-22,1881.28,3315,91,8,20.67,0.0276
373,8,2022-08-23,2446.75,839,39,3,62.74,0.0469
374,8,2022-08-24,2715.61,1847,115,14,23.61,0.0623
375,8,2022-08-25,2423.67,2063,103,11,23.53,0.0502
376,8,2022-08-26,1845.4,6766,185,23,9.98,0.0274
377,8,2022-08-27,2796.75,4137,414,55,6.76,0.1002
378,8,2022-08-28,2431.94,7168,666,96,3.65,0.093
379,8,2022-08-29,2667.58,636,53,6,50.33,0.0841
380,8,2022-08-30,2060.57,706,35,4,58.87,0.0502
381,8,2022-08-31,1914.88,846,81,6,23.64,0.0961
382,8,2022-09-01,2766.14,3215,69,8,40.09,0.0215
383,8,2022-09-02,2701.22,5576,614,47,4.4,0.1102
384,8,2022-09-03,2142.57,3891,323,12,6.63,0.0832
385,8,2022-09-04,1788.67,7824,872,71,2.05,0.1115
386,8,2022-09-05,1608.72,3347,189,9,8.51,0.0565
387,8,2022-09-06,1994.09,775,86,10,23.19,0.112
388,8,2022-09-07,2628.77,7536,770,60,3.41,0.1022
389,8,2022-09-08,2682.93,1095,60,2,44.72,0.0552
390,8,2022-09-09,2866.83,7825,269,35,10.66,0.0345
391,8,2022-09-10,2377.5,2635,172,14,13.82,0.0655
392,8,2022-09-11,1573.82,6815,340,26,4.63,0.05
393,8,2022-09-12,1626.73,1574,141,20,11.54,0.0899
394,8,2022-09-13,1632.47,3338,230,9,7.1,0.0691
395,9,2022-02-07,1847.51,571,40,4,46.19,0.0717
396,9,2022-02-08,1097.17,5762,556,22,1.97,0.0965
397,9,2022-02-09,1159.6,3075,158,15,7.34,0.0515
398,9,2022-02-10,1162.85,6318,663,43,1.75,0.1051
399,9,2022-02-11,1733.74,6454,510,31,3.4,0.0791
400,9,2022-02-12,1692.03,6471,149,18,11.36,0.0231
401,9,2022-02-13,1085.35,7068,744,108,1.46,0.1053
402,9,2022-02-14,1093.98,7283,646,71,1.69,0.0888
403,9,2022-02-15,1349.53,737,54,3,24.99,0.0735
404,9,2022-02-16,1055.99,4431,125,5,8.45,0.0284
405,9,2022-02-17,1219.2,1348,137,12,8.9,0.1018
406,9,2022-02-18,1146.4,6035,253,18,4.53,0.0421
407,9,2022-02-19,1872.49,7782,163,15,11.49,0.0211
408,9,2022-02-20,1868.77,6259,668,58,2.8,0.1069
409,9,2022-02-21,1036.15,5583,374,40,2.77,0.0671
410,9,2022-02-22,1316.03,7175,603,59,2.18,0.0841
411,9,2022-02-23,1313.12,2177,237,28,5.54,0.1091
412,9,2022-02-24,1111.02,4038,429,51,2.59,0.1064
413,9,2022-02-25,1730.07,4721,545,22,3.17,0.1156
414,9,2022-02-26,1479.61,1961,182,13,8.13,0.0929
415,9,2022-02-27,1591.2,6675,333,33,4.78,0.05
416,9,2022-02-28,1182.25,546,19,0,62.22,0.0357
417,9,2022-03-01,1823.32,6039,528,30,3.45,0.0876
418,9,2022-03-02,1357.88,5432,407,43,3.34,0.075
419,9,2022-03-03,1302.81,7227,488,44,2.67,0.0676
420,9,2022-03-04,1394.29,4552,476,38,2.93,0.1047
421,9,2022-03-05,1198.76,3282,287,17,4.18,0.0877
422,9,2022-03-06,1654.63,7671,325,41,5.09,0.0424
423,9,2022-03-07,1853.09,896,61,4,30.38,0.069
424,10,2024-08-17,394.2,570,54,4,7.3,0.0962
425,10,2024-08-18,354.09,2408,212,19,1.67,0.0882
426,10,2024-08-19,533.91,7793,471,38,1.13,0.0605
427,10,2024-08-20,527.07,2602,277,31,1.9,0.1065
428,10,2024-08-21,489.79,2091,225,32,2.18,0.1077
429,10,2024-08-22,445.74,7471,549,52,0.81,0.0736
430,10,2024-08-23,491.02,6153,219,29,2.24,0.0356
431,10,2024-08-24,305.86,5064,326,13,0.94,0.0644
432,10,2024-08-25,452.18,5416,628,88,0.72,0.1161
433,10,2024-08-26,433.7,6607,496,40,0.87,0.0752
434,10,2024-08-27,358.22,4484,142,13,2.52,0.0319
435,10,2024-08-28,520.91,5356,403,19,1.29,0.0753
436,10,2024-08-29,537.98,3349,146,20,3.68,0.0438
437,10,2024-08-30,434.67,6376,220,13,1.98,0.0345
438,10,2024-08-31,533.47,7752,880,118,0.61,0.1136
439,10,2024-09-01,337.23,4129,477,65,0.71,0.1157
440,10,2024-09-02,507.84,1520,41,5,12.39,0.0274
441,10,2024-09-03,373.09,3095,150,4,2.49,0.0487
442,10,2024-09-04,364.12,998,47,2,7.75,0.0471
